pubmed_id,terms,title,journal,author,volume,authors,author_initials,year,contact_addresses,issue,pages,editor,review,publisher,url
20065105,"['Cell Aging/genetics', 'Cell Cycle/genetics', 'Cells, Cultured', 'Cytosine/metabolism', 'DNA Damage', 'DNA Methylation', 'DNA Repair/genetics', 'Down-Regulation', 'Gene Silencing', 'Humans', 'Mesenchymal Stromal Cells/physiology', 'Methyl-CpG-Binding Protein 2/genetics/metabolism', 'Retinoblastoma Protein/metabolism', 'Tumor Suppressor Protein p53/metabolism']",Partial silencing of methyl cytosine protein binding 2 (MECP2) in mesenchymal stem cells induces senescence with an increase in damaged DNA.,FASEB J.,Squillaro et al.,24,,"Squillaro, T et al.",2010,,5,1593-1603,,,,
20068043,"['Cell Aging/physiology', 'Cell Division/physiology', 'Cell Line', 'Down-Regulation/physiology', 'Enzyme Activation/physiology', 'Fibroblasts/cytology/metabolism', 'Glycyrrhetinic Acid/analogs & derivatives/pharmacology', 'Humans', 'Luciferases/genetics', 'NF-E2-Related Factor 2/genetics/metabolism', 'Oxidative Stress/drug effects/physiology', 'Proteasome Endopeptidase Complex/metabolism', 'RNA Interference', 'Reactive Oxygen Species/metabolism']",Nuclear erythroid factor 2-mediated proteasome activation delays senescence in human fibroblasts.,J. Biol. Chem.,Kapeta et al.,285,,"Kapeta, S et al.",2010,,11,8171-8184,,,,
20074557,"['Cell Aging/genetics/physiology', 'Cell Line', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'Fibroblasts/physiology', 'Humans', 'Skin/cytology/metabolism', 'Skin Aging/genetics', 'Thioredoxins/genetics/physiology', 'Tumor Suppressor Protein p53/metabolism']",Suppression of thioredoxin-1 induces premature senescence in normal human fibroblasts.,Biochem. Biophys. Res. Commun.,Young et al.,392,,"Young, JJ et al.",2010,,3,363-368,,,,
20103533,"['Amino Acid Substitution', 'Base Sequence', 'Cell Aging/physiology', 'Cell Line', 'DNA Primers/genetics', 'GTP Phosphohydrolases/metabolism', 'HeLa Cells', 'Humans', 'Membrane Proteins/antagonists & inhibitors/chemistry/genetics/metabolism', 'Membrane Transport Proteins/metabolism', 'Microtubule-Associated Proteins/metabolism', 'Mitochondria/metabolism/ultrastructure', 'Mitochondrial Membrane Transport Proteins', 'Mitochondrial Proteins/antagonists & inhibitors/genetics/metabolism', 'Mutagenesis, Site-Directed', 'Protein Structure, Tertiary', 'RNA Interference', 'RNA, Small Interfering/genetics', 'Recombinant Proteins/chemistry/genetics/metabolism', 'Substrate Specificity', 'Transfection', 'Ubiquitin-Protein Ligases/antagonists & inhibitors/chemistry/genetics/metabolism']",Loss of MARCH5 mitochondrial E3 ubiquitin ligase induces cellular senescence through dynamin-related protein 1 and mitofusin 1.,J. Cell. Sci.,Park et al.,123,,"Park, YY et al.",2010,,Pt 4,619-626,,,,
20157568,"[""3' Untranslated Regions/genetics"", 'Alphapapillomavirus', 'Cell Aging/physiology', 'Cell Line, Tumor', 'Cell Nucleus/metabolism', 'Cell Proliferation', 'Cervix Uteri/metabolism', 'DNA-Binding Proteins/genetics', 'Epithelium/metabolism', 'Female', 'Gene Expression/genetics', 'Half-Life', 'HeLa Cells', 'Human papillomavirus 16', 'Human papillomavirus 18', 'Humans', 'Models, Biological', 'Oncogene Proteins, Viral/genetics', 'Protein Binding/genetics', 'RNA Stability/genetics', 'RNA, Messenger/genetics/metabolism', 'Repressor Proteins/genetics', 'Telomerase/genetics/metabolism', 'Transfection', 'Tristetraprolin/genetics/metabolism', 'Tumor Suppressor Protein p53/genetics/metabolism', 'Ubiquitin-Protein Ligases/genetics/metabolism', 'Uterine Cervical Neoplasms/metabolism/virology', 'beta-Galactosidase/metabolism']",The mRNA decay factor tristetraprolin (TTP) induces senescence in human papillomavirus-transformed cervical cancer cells by targeting E6-AP ubiquitin ligase.,Aging (Albany NY),Sanduja et al.,1,,"Sanduja, S et al.",2009,,9,803-817,,,,
20160010,"['Autoantigens/metabolism', 'Cell Aging', 'Cell Line', 'Cell Proliferation', 'Cells, Cultured', 'Chromosomal Proteins, Non-Histone/deficiency/metabolism', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'Cytoprotection', 'Fibroblasts/cytology/metabolism', 'Gene Expression Regulation', 'Heterochromatin/metabolism', 'Humans', 'Mitosis', 'Phenotype', 'Protein Biosynthesis', 'Protein Processing, Post-Translational', 'RNA, Small Interfering/metabolism', 'Receptors, Retinoic Acid/metabolism', 'Retinoblastoma Protein/metabolism', 'Transcription, Genetic', 'Tumor Suppressor Protein p53/metabolism']",CENP-A reduction induces a p53-dependent cellular senescence response to protect cells from executing defective mitoses.,Mol. Cell. Biol.,Maehara et al.,30,,"Maehara, K et al.",2010,,9,2090-2104,,,,
20211237,"['Active Transport, Cell Nucleus', 'Aging/genetics/metabolism', 'Apoptosis/genetics/physiology', 'Cell Aging/genetics/physiology', 'Cells, Cultured', 'Endodeoxyribonucleases/antagonists & inhibitors/genetics/metabolism', 'Endothelial Cells/cytology/enzymology', 'Gene Expression', 'Gene Knockdown Techniques', 'Humans', 'Lentivirus/genetics', 'Membrane Potential, Mitochondrial', 'Necrosis/enzymology/genetics/pathology', 'RNA, Small Interfering/genetics']",Role of endonuclease G in senescence-associated cell death of human endothelial cells.,Exp. Gerontol.,Diener et al.,45,,"Diener, T et al.",2010,,07-Aug,638-644,,,,
20351176,"['ADP-Ribosylation Factor 1/genetics/metabolism', 'Animals', 'Catalase/genetics/metabolism', 'Cell Aging/physiology', 'Cells, Cultured', 'Chromatin Assembly and Disassembly', 'DNA Damage', 'DNA-Binding Proteins/genetics/metabolism', 'Fibroblasts/cytology/physiology', 'Humans', 'Mice', 'Mice, Knockout', 'Oxidative Stress/physiology', 'RNA/genetics/metabolism', 'RNA, Small Interfering/genetics/metabolism', 'Reactive Oxygen Species/metabolism', 'Superoxide Dismutase/genetics/metabolism', 'Tissue Distribution']","DDB2, an essential mediator of premature senescence.",Mol. Cell. Biol.,Roy et al.,30,,"Roy, N et al.",2010,,11,2681-2692,,,,
20397042,"['Cell Aging/genetics', 'Cell Line, Tumor', 'Cell Survival/genetics', 'Down-Regulation', 'Epithelial-Mesenchymal Transition/genetics', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Integrin alpha6/metabolism', 'Male', 'Neoplasm Metastasis', 'Prostatic Neoplasms/metabolism/pathology', 'RNA, Messenger/metabolism', 'Snail Family Transcription Factors', 'Transcription Factors/genetics/metabolism']",Snail regulates cell survival and inhibits cellular senescence in human metastatic prostate cancer cell lines.,Cell Biol. Toxicol.,Emadi Baygi et al.,26,,"Emadi Baygi, M et al.",2010,,6,553-567,,,,
20452981,"['Cell Aging', 'Cell Cycle Proteins/metabolism', 'Cell Proliferation', 'Chromosomal Instability/genetics', 'DNA Damage', 'Endopeptidases/metabolism', 'Fibroblasts/cytology/metabolism', 'HCT116 Cells', 'Humans', 'Neoplasm Proteins/genetics/metabolism', 'Phenotype', 'Securin', 'Separase', 'Signal Transduction', 'Tumor Suppressor Protein p53/metabolism']",Overexpression of the pituitary tumor transforming gene induces p53-dependent senescence through activating DNA damage response pathway in normal human fibroblasts.,J. Biol. Chem.,Hsu et al.,285,,"Hsu, YH et al.",2010,,29,22630-22638,,,,
20523116,"['Animals', 'Apoptosis/physiology', 'Breast Neoplasms/enzymology/genetics/pathology', 'Cell Line, Tumor', 'Female', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Hydrogen Peroxide/metabolism', 'Mice', 'Mitochondria/enzymology/genetics', 'NADPH Oxidase/biosynthesis/genetics/metabolism', 'NIH 3T3 Cells', 'Ovarian Neoplasms/enzymology', 'Reactive Oxygen Species/metabolism', 'Transfection']",NADPH oxidase 4 is an oncoprotein localized to mitochondria.,Cancer Biol. Ther.,Graham et al.,10,,"Graham, KA et al.",2010,,3,223-231,,,,
20526329,"['Animals', 'Blotting, Western', 'Cell Aging/drug effects', 'Cell Line', 'Cell Proliferation/drug effects', 'Collagen/metabolism', 'Cysteine-Rich Protein 61/pharmacology', 'Fibroblasts', 'Humans', 'Mice', 'Mice, Inbred C57BL', 'Microscopy, Fluorescence', 'RNA Interference', 'Reactive Oxygen Species/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Wound Healing/drug effects']",The matricellular protein CCN1 induces fibroblast senescence and restricts fibrosis in cutaneous wound healing.,Nat. Cell Biol.,Jun and Lau,12,,"Jun, J.I. and Lau, L.F.",2010,,7,676-685,,,,
20536843,"['Aging/genetics', 'Animals', 'Cell Aging/genetics/physiology', 'Cytokines/genetics/metabolism', 'Gene Expression Profiling', 'Genes, Tumor Suppressor', 'Humans', 'Mice', 'Oncogenes', 'Proteins/genetics/metabolism', 'Signal Transduction/genetics', 'Telomere/metabolism', 'Tumor Suppressor Protein p53/genetics/metabolism']",Transcriptome analysis and tumor suppressor requirements of STAT5-induced senescence.,Ann. N. Y. Acad. Sci.,Mallette et al.,1197,,"Mallette, FA et al.",2010,,,142-151,,,,
20615871,"['ATP Citrate (pro-S)-Lyase/genetics/metabolism', 'Animals', 'Blotting, Western', 'Cell Aging/drug effects/genetics/physiology', 'Cell Line', 'Cell Membrane/drug effects/metabolism', 'Cells, Cultured', 'Chromatography, Thin Layer', 'Deferoxamine/pharmacology', 'Humans', 'Hydrogen Peroxide/pharmacology', 'Lipogenesis/drug effects/genetics/physiology', 'Membrane Lipids/metabolism', 'Organelles/drug effects/metabolism', 'RNA, Small Interfering', 'Rats', 'Rats, Inbred F344', 'Reactive Oxygen Species/metabolism', 'Sterol Regulatory Element Binding Protein 1/genetics/metabolism']",Sterol regulatory element-binding protein (SREBP)-1-mediated lipogenesis is involved in cell senescence.,J. Biol. Chem.,Kim et al.,285,,"Kim, YM et al.",2010,,38,29069-29077,,,,
20656682,"[""3' Untranslated Regions/physiology"", 'Carrier Proteins/biosynthesis/genetics', 'Cell Aging/physiology', 'Cells, Cultured', 'Fibroblasts', 'Forkhead Box Protein O3', 'Forkhead Transcription Factors/genetics/metabolism', 'Gene Knockdown Techniques', 'Humans', 'Male', 'MicroRNAs/genetics/metabolism', 'RNA Stability/physiology', 'Transcription, Genetic/physiology', 'Up-Regulation/physiology', 'ras Proteins/genetics/metabolism']","Vitamin D3 up-regulated protein 1(VDUP1) is regulated by FOXO3A and miR-17-5p at the transcriptional and post-transcriptional levels, respectively, in senescent fibroblasts.",J. Biol. Chem.,Zhuo et al.,285,,"Zhuo, de X et al.",2010,,41,31491-31501,,,,
20660729,"['Cell Aging', 'Cells, Cultured', 'Chromosomal Proteins, Non-Histone/metabolism/physiology', 'DNA Helicases/metabolism', 'Humans', 'Neoplasms/etiology/genetics', 'Nuclear Proteins/metabolism/physiology', 'Protein Binding', 'Transcription Factors/metabolism/physiology', 'Tumor Suppressor Protein p53/metabolism']",Polybromo-associated BRG1-associated factor components BRD7 and BAF180 are critical regulators of p53 required for induction of replicative senescence.,Proc. Natl. Acad. Sci. U.S.A.,Burrows et al.,107,,"Burrows, AE et al.",2010,,32,14280-14285,,,,
20675618,"['Apoptosis', 'Blotting, Western', 'Cell Aging/physiology', 'Cell Proliferation', 'Cells, Cultured', 'Dipeptides/pharmacology', 'Electroporation/methods', 'Endothelial Cells/metabolism/physiology', 'Endothelium, Vascular/cytology/metabolism', 'Escherichia coli', 'Humans', 'Hydroxamic Acids/pharmacology', 'Protein Isoforms/physiology', 'Reverse Transcriptase Polymerase Chain Reaction', 'Tumor Necrosis Factor Ligand Superfamily Member 15/physiology', 'Umbilical Veins/cytology/metabolism', 'beta-Galactosidase/metabolism']",Two functionally distinct isoforms of TL1A (TNFSF15) generated by differential ectodomain shedding.,J. Gerontol. A Biol. Sci. Med. Sci.,Mück et al.,65,,"Mück, C et al.",2010,,11,1165-1180,,,,
20697355,"['Apoptosis/genetics', 'Blotting, Western', 'Cell Aging/genetics', 'Chromatin Assembly and Disassembly', 'DNA Helicases/genetics/metabolism', 'Gene Expression', 'Gene Expression Regulation/genetics', 'Gene Knockdown Techniques', 'Humans', 'Immunohistochemistry', 'In Situ Nick-End Labeling', 'Mesenchymal Stromal Cells/metabolism', 'Nuclear Proteins/genetics/metabolism', 'Receptor Cross-Talk/physiology', 'Retinoblastoma-Like Protein p130/genetics/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Signal Transduction', 'Transcription Factors/genetics/metabolism', 'Transduction, Genetic', 'Tumor Suppressor Protein p53/genetics/metabolism']",The BRG1 ATPase of chromatin remodeling complexes is involved in modulation of mesenchymal stem cell senescence through RB-P53 pathways.,Oncogene,Alessio et al.,29,,"Alessio, N et al.",2010,,40,5452-5463,,,,
20716119,"['Animals', 'Cell Aging/physiology', 'Cell Line, Tumor', 'Checkpoint Kinase 1', 'Cyclin-Dependent Kinase Inhibitor p21/genetics/metabolism', 'DNA Damage', 'G2 Phase/physiology', 'Humans', 'Hydrogen Peroxide/metabolism', 'Oxidants/metabolism', 'Protein Kinase Inhibitors/metabolism', 'Protein Kinases/genetics/metabolism', 'Tumor Suppressor Protein p53/genetics/metabolism']",Cutting edge: Chk1 directs senescence and mitotic catastrophe in recovery from G₂ checkpoint arrest.,J. Cell. Mol. Med.,Poehlmann et al.,15,,"Poehlmann, A et al.",2011,,7,1528-1541,,,,
20729911,"['Antineoplastic Agents, Phytogenic/pharmacology', 'Cell Aging/drug effects', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p21/physiology', 'Doxorubicin/pharmacology', 'Extracellular Signal-Regulated MAP Kinases/physiology', 'Humans', 'Microtubule-Associated Proteins/physiology', 'Microtubules/drug effects', 'Paclitaxel/pharmacology']",The centrosomal protein TACC3 controls paclitaxel sensitivity by modulating a premature senescence program.,Oncogene,Schmidt et al.,29,,"Schmidt, S et al.",2010,,46,6184-6192,,,,
20841375,"['Animals', 'Cell Aging/drug effects/genetics', 'Cell Transformation, Neoplastic/drug effects/genetics/metabolism', 'Down-Regulation/drug effects', 'Female', 'Gene Expression Regulation, Neoplastic/drug effects/physiology', 'Gene Knockdown Techniques', 'Humans', 'Mice', 'Mice, Inbred BALB C', 'Mice, Nude', 'Neoplasms/genetics/metabolism/pathology/prevention & control', 'Potassium Channels, Inwardly Rectifying/antagonists & inhibitors/genetics', 'RNA, Small Interfering/pharmacology/therapeutic use', 'Reactive Oxygen Species/metabolism/pharmacology', 'Tumor Cells, Cultured', 'Xenograft Model Antitumor Assays']",Knockdown of inwardly rectifying potassium channel Kir2.2 suppresses tumorigenesis by inducing reactive oxygen species-mediated cellular senescence.,Mol. Cancer Ther.,Lee et al.,9,,"Lee, I et al.",2010,,11,2951-2959,,,,
20972333,"['Animals', 'Cell Aging/genetics', 'Cell Line, Tumor', 'Cell Proliferation', 'Cell Transformation, Neoplastic', 'Fibroblasts/cytology/physiology', 'Gene Expression Profiling', 'Humans', 'Lung Neoplasms/genetics/pathology', 'Mice', 'Proto-Oncogene Proteins/genetics/metabolism', 'Proto-Oncogene Proteins p21(ras)/genetics/metabolism', 'RNA Interference', 'Signal Transduction/physiology', 'WT1 Proteins/genetics/metabolism', 'ras Proteins/genetics/metabolism']",Wilms tumor 1 (WT1) regulates KRAS-driven oncogenesis and senescence in mouse and human models.,J. Clin. Invest.,Vicent et al.,120,,"Vicent, S et al.",2010,,11,3940-3952,,,,
21030557,"['Animals', 'Cell Aging/genetics', 'Cell Differentiation/genetics', 'Cells, Cultured', 'Embryo, Mammalian', 'Flow Cytometry', 'Hematopoiesis/genetics/physiology', 'Hematopoietic Stem Cells/metabolism/physiology', 'Mice', 'Mice, Knockout', 'RNA-Binding Protein EWS/genetics/metabolism/physiology', 'Sarcoma, Ewing/genetics/metabolism']",Ewing sarcoma gene Ews regulates hematopoietic stem cell senescence.,Blood,Cho et al.,117,,"Cho, J et al.",2011,,4,1156-1166,,,,
21047732,"['Cell Aging/genetics', 'Cell Cycle/genetics', 'Cell Line, Tumor', 'Cell Proliferation', 'Cerebellar Neoplasms/genetics/metabolism/pathology', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Medulloblastoma/genetics/metabolism/pathology', 'Otx Transcription Factors/biosynthesis/genetics']",Regulation of cell cycle genes and induction of senescence by overexpression of OTX2 in medulloblastoma cell lines.,Mol. Cancer Res.,Bunt et al.,8,,"Bunt, J et al.",2010,,10,1344-1357,,,,
21099244,"['Age Factors', 'Blotting, Western', 'Cell Aging', 'Cell Cycle', 'Cells, Cultured', 'Enzyme Induction', 'Fibroblasts/physiology', 'G1 Phase', 'Heme Oxygenase-1/metabolism', 'Humans', 'Hydrogen Peroxide/pharmacology', 'Oxidative Stress', 'Oxidoreductases Acting on CH-CH Group Donors/metabolism', 'Protein Kinase Inhibitors/metabolism', 'RNA, Small Interfering', 'Reactive Oxygen Species/metabolism', 'beta-Galactosidase/genetics/metabolism']",Biliverdin reductase A in the prevention of cellular senescence against oxidative stress.,Exp. Mol. Med.,Kim et al.,43,,"Kim, SY et al.",2011,,1,15-23,,,,
21099361,"['Cell Aging', 'Cell Division', 'Cell Line, Tumor', 'Cyclin B/metabolism', 'Cyclin-Dependent Kinases', 'Down-Regulation', 'Fibroblasts/cytology/metabolism', 'G1 Phase', 'Humans', 'NIMA-Related Kinases', 'Neoplasms/enzymology/metabolism', 'Protein-Serine-Threonine Kinases/genetics/metabolism/physiology', 'Reactive Oxygen Species/metabolism', 'Tumor Suppressor Protein p53/antagonists & inhibitors/metabolism']",Nek6 overexpression antagonizes p53-induced senescence in human cancer cells.,Cell Cycle,Jee et al.,9,,"Jee, HJ et al.",2010,,23,4703-4710,,,,
21182935,"['Aldehyde Reductase/genetics/metabolism', 'Aldehydes/metabolism', 'Animals', 'Apoptosis', 'Cell Aging', 'Cells, Cultured', 'Epidermis/metabolism', 'Fibroblasts/metabolism', 'Gene Expression', 'Gene Knockdown Techniques', 'Gene Silencing', 'Humans', 'Keratinocytes/cytology/metabolism/radiation effects', 'MAP Kinase Signaling System', 'Mice', 'Mice, Transgenic', 'Mitochondria/metabolism', 'Phosphatidylinositol 3-Kinase/genetics/metabolism', 'Proto-Oncogene Proteins c-bcl-2/metabolism', 'RNA, Small Interfering/genetics/pharmacology', 'Reactive Oxygen Species/metabolism', 'Sunburn/metabolism/pathology', 'Thiobarbituric Acid Reactive Substances/metabolism', 'Ultraviolet Rays/adverse effects', 'bcl-2-Associated X Protein/metabolism']",Aldose reductase in keratinocytes attenuates cellular apoptosis and senescence induced by UV radiation.,Free Radic. Biol. Med.,Kang et al.,50,,"Kang, ES et al.",2011,,6,680-688,,,,
21223585,"['Adaptor Proteins, Signal Transducing/genetics', 'Animals', 'Apoptosis/genetics', 'Blotting, Western', 'Carrier Proteins/genetics', 'Cell Aging/genetics', 'Cell Cycle/genetics', 'Cell Line, Tumor', 'Cell Proliferation', 'Cell Survival/genetics', 'Cyclin-Dependent Kinase Inhibitor p21/genetics', 'E2F1 Transcription Factor/genetics', 'Extracellular Signal-Regulated MAP Kinases/metabolism', 'Gene Expression Regulation, Neoplastic/genetics', 'HT29 Cells', 'Humans', 'Male', 'Mice', 'Mice, Nude', 'Neoplasms, Experimental/genetics/metabolism/pathology', 'Phosphorylation', 'Reverse Transcriptase Polymerase Chain Reaction', 'Thyroid Neoplasms/genetics/metabolism/pathology', 'Transplantation, Heterologous', 'Tumor Burden/genetics']",ABI3 ectopic expression reduces in vitro and in vivo cell growth properties while inducing senescence.,BMC Cancer,Latini et al.,11,,"Latini, FR et al.",2011,,,11,,,,
21278790,"['Animals', 'Blotting, Western', 'Cell Aging/genetics', 'Cell Cycle/genetics', 'Cell Line, Tumor', 'Cell Proliferation', 'Cells, Cultured', 'DNA Damage', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Kaplan-Meier Estimate', 'Mice', 'Mice, Inbred NOD', 'Mice, SCID', 'Mouth Neoplasms/genetics/metabolism/pathology', 'Neoplasms/genetics/metabolism/pathology', 'Neoplasms, Experimental/genetics/metabolism/pathology', 'RNA Interference', 'Reverse Transcriptase Polymerase Chain Reaction', 'Signal Transduction/genetics', 'Transplantation, Heterologous', 'Tumor Burden', 'Tumor Suppressor Protein p53/genetics/metabolism', 'alpha Catenin/genetics/metabolism']",α-Catulin knockdown induces senescence in cancer cells.,Oncogene,Fan et al.,30,,"Fan, LC et al.",2011,,23,2610-2621,,,,
21325273,"['Blotting, Western', 'Cell Aging/genetics/physiology', 'Cell Line', 'Cell Line, Tumor', 'Cell Survival/genetics/physiology', 'Cells, Cultured', 'Chromatin Immunoprecipitation', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'Cyclin-Dependent Kinase Inhibitor p21/genetics/metabolism', 'Flow Cytometry', 'Homeodomain Proteins/genetics/metabolism', 'Humans', 'Lymphocytes/cytology/metabolism', 'RNA Interference', 'Reverse Transcriptase Polymerase Chain Reaction', 'Signal Transduction/genetics/physiology', 'Tumor Suppressor Protein p53/genetics/metabolism']",VentX trans-activates p53 and p16ink4a to regulate cellular senescence.,J. Biol. Chem.,Wu et al.,286,,"Wu, X et al.",2011,,14,12693-12701,,,,
21420382,"['Animals', 'Cell Aging', 'Female', 'HeLa Cells', 'Histone Deacetylase 1/biosynthesis', 'Humans', 'Mice', 'Mice, SCID', 'Promoter Regions, Genetic', 'Protein Phosphatase 2/genetics/metabolism', 'Retinoblastoma Protein/metabolism', 'Sp1 Transcription Factor/metabolism', 'Transcriptional Activation', 'Uterine Cervical Neoplasms/enzymology/pathology']",Overexpression of HDAC1 induces cellular senescence by Sp1/PP2A/pRb pathway.,Biochem. Biophys. Res. Commun.,Chuang and Hung,407,,"Chuang, J.Y. and Hung, J.J.",2011,,3,587-592,,,,
21445100,"['Caveolae/ultrastructure', 'Cell Aging', 'Cell Line', 'Fibroblasts/cytology/metabolism/ultrastructure', 'Gene Expression Regulation', 'Humans', 'Mutation', 'RNA-Binding Proteins/analysis/genetics/metabolism']",Regulation of cellular senescence by the essential caveolar component PTRF/Cavin-1.,Cell Res.,Bai et al.,21,,"Bai, L et al.",2011,,7,1088-1101,,,,
21628992,"['Actin Cytoskeleton/metabolism', 'Actin-Related Protein 2-3 Complex/metabolism', 'Cell Aging', 'Cell Cycle Proteins/metabolism', 'Cell Line, Tumor', 'Cell Nucleus/metabolism', 'Fibroblasts/physiology', 'Humans', 'Recombinant Proteins/genetics/metabolism', 'Retinoblastoma Protein/deficiency/genetics', 'Tumor Suppressor Protein p53/deficiency/genetics']","p41-Arc, a regulatory subunit of Arp2/3 complex, can induce premature senescence in the absence of p53 and Rb.",Exp. Mol. Med.,Yun et al.,43,,"Yun, UJ et al.",2011,,7,389-392,,,,
21671470,"['Antineoplastic Agents, Hormonal/pharmacology', 'Breast Neoplasms/genetics', 'Cell Aging/drug effects', 'Cell Line, Tumor', 'Estrogens', 'Female', 'Gene Expression Regulation, Neoplastic/drug effects', 'Humans', 'Neoplasms, Hormone-Dependent', 'Receptors, Estrogen/metabolism', 'Tamoxifen/pharmacology', 'Tumor Suppressor Proteins/genetics/metabolism']","Novel senescence associated gene, YPEL3, is repressed by estrogen in ER+ mammary tumor cells and required for tamoxifen-induced cellular senescence.",Int. J. Cancer,Tuttle et al.,130,,"Tuttle, R et al.",2012,,10,2291-2299,,,,
21749859,"['Carcinoma, Non-Small-Cell Lung/enzymology/pathology', 'Cell Aging/genetics', 'Cell Line, Tumor', 'Gene Knockdown Techniques', 'Glyceraldehyde-3-Phosphate Dehydrogenase (Phosphorylating)/genetics', 'Humans', 'Lung Neoplasms/enzymology/pathology', 'Tumor Suppressor Proteins/genetics', 'beta-Galactosidase/genetics']",Accelerated cellular senescence phenotype of GAPDH-depleted human lung carcinoma cells.,Biochem. Biophys. Res. Commun.,Phadke et al.,411,,"Phadke, M et al.",2011,,2,409-415,,,,
21795702,"['Amino Acid Motifs', 'Amino Acid Sequence', 'Cell Aging', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'Cyclin-Dependent Kinase Inhibitor p27/chemistry/metabolism', 'Diploidy', 'Fibroblasts/cytology/metabolism', 'Gene Silencing', 'HeLa Cells', 'Humans', 'Molecular Sequence Data', 'Polyubiquitin/metabolism', 'Protein Binding', 'Protein Processing, Post-Translational', 'Protein Structure, Tertiary', 'Ubiquitin-Protein Ligases/chemistry/metabolism', 'Ubiquitination']",WW domain-containing E3 ubiquitin protein ligase 1 (WWP1) delays cellular senescence by promoting p27(Kip1) degradation in human diploid fibroblasts.,J. Biol. Chem.,Cao et al.,286,,"Cao, X et al.",2011,,38,33447-33456,,,,
21811608,"['Active Transport, Cell Nucleus', 'Cell Aging', 'Cysteine Endopeptidases/metabolism', 'G1 Phase', 'Gene Deletion', 'Gene Knockdown Techniques', 'Gene Silencing', 'HeLa Cells', 'Humans', 'Karyopherins/metabolism', 'Nuclear Export Signals', 'Nuclear Pore/metabolism', 'Nuclear Pore Complex Proteins/metabolism', 'Phenotype', 'Proto-Oncogene Proteins/metabolism', 'Receptors, Cytoplasmic and Nuclear/metabolism', 'Resting Phase, Cell Cycle', 'Small Ubiquitin-Related Modifier Proteins/metabolism', 'Sumoylation', 'Tumor Suppressor Protein p53/metabolism']",Silencing nuclear pore protein Tpr elicits a senescent-like phenotype in cancer cells.,PLoS ONE,David-Watine,6,,"David-Watine, B.",2011,,7,e22423,,,,
21820463,"['Adult', 'Aged', 'Aging/blood', 'Amino Acid Sequence', 'Apoptosis/genetics/physiology', 'Base Sequence', 'Cell Aging/genetics/physiology', 'Cell Proliferation', 'Cell Survival/genetics/physiology', 'Cells, Cultured', 'DNA Primers/genetics', 'Down-Regulation', 'Fibroblasts/cytology/physiology', 'Gene Knockdown Techniques', 'Humans', 'Insulin-Like Growth Factor Binding Protein 6/antagonists & inhibitors/genetics/physiology', 'Molecular Sequence Data', 'RNA, Small Interfering/genetics', 'Real-Time Polymerase Chain Reaction', 'Up-Regulation']",Insulin-like growth factor binding protein-6 delays replicative senescence of human fibroblasts.,Mech. Ageing Dev.,Micutkova et al.,132,,"Micutkova, L et al.",2011,,10,468-479,,,,
22012588,"['Cell Aging', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'DNA-Binding Proteins/genetics/metabolism', 'Humans', 'RNA, Messenger/metabolism', 'Transcription Factor DP1/genetics/metabolism', 'Transcription Factors/genetics/metabolism', 'Tumor Suppressor Protein p53/genetics/metabolism']","Acute loss of DP1, but not DP2, induces p53 mRNA and augments p21Waf1/Cip1 and senescence.",Cell Biochem. Funct.,Ohdaira et al.,30,,"Ohdaira, H et al.",2012,,1,54-60,,,,
22020331,"['Cell Aging', 'Cell Line', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'Down-Regulation', 'Extracellular Signal-Regulated MAP Kinases/metabolism', 'Fibroblasts/cytology/metabolism', 'Humans', 'Jumonji Domain-Containing Histone Demethylases/genetics/metabolism', 'Male', 'Prostatic Neoplasms/genetics/metabolism/pathology', 'Proteins/genetics/metabolism', 'Signal Transduction', 'Transcription Factor AP-1/metabolism', 'Transcriptional Activation', 'Tumor Suppressor Proteins/deficiency/genetics']",Loss of the candidate tumor suppressor BTG3 triggers acute cellular senescence via the ERK-JMJD3-p16(INK4a) signaling axis.,Oncogene,Lin et al.,31,,"Lin, TY et al.",2012,,27,3287-3297,,,,
