"id_gene","symbol","name","organism","functions","phenotype","homologues","reference","pubmed","mouse_homologs","yeast_homologs","fly_homologs","worm_homologs","entrez_id","unigene","ensembl","uniprot","alias","hidden"
1914,"ACH1","Ach1p","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,852266,"","","","",NULL
1915,"MPC1","Mpc1p","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,852800,"","","","FMP37",NULL
1916,"MCA1","Ca(2+)-dependent cysteine protease MCA1","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854372,"","","","YCA1",NULL
1917,"SET1","histone methyltransferase SET1","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,856519,"","","","KMT2 YTX1",NULL
1918,"DOT1","histone methyltransferase DOT1","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,852050,"","","","KMT4 PCH1",NULL
1919,"GlyS","Glycogen synthase","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,41823,NULL,NULL,NULL,NULL,NULL
1920,"sptl-1","Serine Palmitoyl Transferase famiLy","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,173389,".8663","","","",NULL
1921,"ttm-5","Putative sphingolipid delta(4)-desaturase/C4-hydroxylase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,173327,".16375","","","",NULL
1922,"cgt-2","Ceramide glucosyltransferase 2","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,181790,".19350","","","",NULL
1923,"ppk23","pickpocket 23","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,32731,NULL,NULL,NULL,NULL,NULL
1924,"NPF","neuropeptide F","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,42018,NULL,NULL,NULL,NULL,NULL
1925,"ppk28","pickpocket 28","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,32671,NULL,NULL,NULL,NULL,NULL
1926,"Trpv1","transient receptor potential cation channel, subfamily V, member 1","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,193034,NULL,NULL,NULL,NULL,NULL
1927,"CG2789","CG2789","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,33231,"4332","","","anon-EST:Posey116 Dmel\CG2789",NULL
1928,"inaE","inactivation no afterpotential E","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,32343,NULL,NULL,NULL,NULL,NULL
1929,"rdgA","retinal degeneration A","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,31826,NULL,NULL,NULL,NULL,NULL
1930,"dagl-2","DiAcylGlycerol Lipase homolog","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,3565075,".10495","","","",NULL
1931,"dgk-5","Putative diacylglycerol kinase K06A1.6","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,174068,".14796","","","",NULL
1932,"rec-8","hypothetical protein","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,178295,".12445","","","",NULL
1933,"REC8","Rec8p","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,856115,"","","","SPO69",NULL
1934,"REG1","protein phosphatase regulator REG1","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,851592,"","","","HEX2 PZF240 SPP43 SRN1",NULL
1935,"TAT2","aromatic amino acid transmembrane transporter TAT2","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854139,"","","","LTG3 SAB2 SCM2 TAP2",NULL
1936,"pash-1","PArtner of DroSHa (DRSH-1 interactor)","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,172950,"","","","",NULL
1937,"hif-1","HIF (Hypoxia Inducible Factor) homologa","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,180359,".17085","","","",NULL
1938,"atfs-1","Activating Transcription Factor associated with Stress","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179922,".17407","","","",NULL
1939,"Y24D9A.8","Transaldolase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177202,".23396","","","",NULL
1940,"letm-1","LETM1 (Leucine zipper, EF-hand, TransMembrane mitochondrial protein) homolog","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179854,".17712","","","",NULL
1941,"let-630","hypothetical protein","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,172153,".11551","","","",NULL
1942,"F02A9.4","Probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,176285,".7000","","","",NULL
1943,"wah-1","Worm AIF (apoptosis inducing factor) Homolog","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,176635,".9654","","","",NULL
1944,"Y54G9A.7","hypothetical protein","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175017,".35964","","","",NULL
1945,"lpd-9","LiPid Depleted","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179477,".2224","","","",NULL
1946,"timm-23","Translocase, Inner Mitochondrial Membrane","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,173041,".18940","","","",NULL
1947,"E04A4.5","Probable mitochondrial import inner membrane translocase subunit Tim17","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177242,".6756","","","",NULL
1948,"F45G2.8","Mitochondrial import inner membrane translocase subunit tim-16","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,176769,".10464","","","",NULL
1949,"dnj-21","Mitochondrial import inner membrane translocase subunit TIM14","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,172231,".16739","","","",NULL
1950,"tin-44","Probable mitochondrial import inner membrane translocase subunit tim-44","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,172302,".5010","","","",NULL
1951,"tomm-22","Translocase of Outer Mitochondrial Membrane","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,173436,".34305","","","",NULL
1952,"nhr-8","Nuclear hormone receptor family member nhr-8","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177551,".18186","","","",NULL
1953,"Adra1a","adrenergic receptor, alpha 1a","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,11549,NULL,NULL,NULL,NULL,NULL
1954,"Adra1b","adrenergic receptor, alpha 1b","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,11548,NULL,NULL,NULL,NULL,NULL
1955,"dm","diminutive","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,31310,NULL,NULL,NULL,NULL,NULL
1956,"Nfkb1","nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,18033,NULL,NULL,NULL,NULL,NULL
1957,"pat-10","Paralysed Arrest at Two-fold","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,172127,".8371","","","",NULL
1958,"Ubd","ubiquitin D","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,24108,NULL,NULL,NULL,NULL,NULL
1959,"hsp-12.6","Heat Shock Protein","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177778,"12711","","","",NULL
1960,"sip-1","Stress-induced protein 1","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,176471,"16892","","","",NULL
1961,"gcy-18","Guanylyl CYclase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,178237,"12777","","","",NULL
1962,"fabp","fatty acid bindin protein","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,3772232,"21313","","","anon-EST:Posey234 anon-WO0140519.12 BcDNA:RH06221 ",NULL
1963,"CG13890","CG13890","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,38100,"11220","","","Dmel\CG13890",NULL
1964,"drl-1","Dietary Restriction Like","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,3565236,"","","","",NULL
1965,"MET17","bifunctional cysteine synthase/O-acetylhomoserine aminocarboxypropyltransferase MET17","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,851010,"","","","MET15 MET25",NULL
1966,"ISW2","Isw2p","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854480,"","","","",NULL
1967,"ITC1","Itc1p","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,852744,"","","","",NULL
1968,"DLS1","Dls1p","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,853381,"","","","",NULL
1969,"DPB4","Dpb4p","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,851699,"","","","",NULL
1970,"klf-1","Kruppel-Like Factor (zinc finger protein)","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175404,"10394","","","",NULL
1971,"cth-1","CystaTHionine gamma lyase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,180079,"3934","","","",NULL
1972,"cth-2","Putative cystathionine gamma-lyase 2","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,174155,"9094","","","",NULL
1973,"cbs-1","Cystathionine Beta-Synthase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,181215,"17501","","","",NULL
1974,"MET5","sulfite reductase (NADPH) subunit beta","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,853602,"","","","ECM17",NULL
1975,"MET14","adenylyl-sulfate kinase","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,853869,"","","","",NULL
1976,"MET16","phosphoadenylyl-sulfate reductase (thioredoxin)","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,856296,"","","","",NULL
1977,"alh-6","ALdehyde deHydrogenase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,173510,"7988","","","",NULL
1978,"Rbm38","RNA binding motif protein 38","Mus musculus","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,56190,"485782","ENSMUSG00000027510","","Seb4 Rnpc1 Seb4l",NULL
1979,"Men","Malic enzyme","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,47173,"1769","","","anon-WO0118547.278 CG10120 Dmel\CG10120 MDH Mdh-NA",NULL
1980,"pbs-5","Proteasome subunit beta type","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,173334,"4934","","","",NULL
1981,"rict-1","hypothetical protein","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,3565035,".17030","","","",NULL
1982,"par1","protein phosphatase regulatory subunit Par1","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2539379,"","","","",NULL
1983,"SPAC1399.04c","uracil phosphoribosyltransferase (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542614,"","","","",NULL
1984,"sck2","serine/threonine protein kinase Sck2","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541867,"","","","",NULL
1985,"lys7","alpha-aminoadipate reductase phosphopantetheinyl transferase Lys7","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542118,"","","","",NULL
1986,"SPAC3A12.09c","urease accessory protein UreD (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2543072,"","","","",NULL
1987,"ndk1","nucleoside diphosphate kinase Ndk1","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2543111,"","","","",NULL
1988,"ksp1","serine/threonine protein kinase Ksp1 (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2539653,"","","","ppk20",NULL
1989,"SPBC1D7.01","prefoldin subunit 1 (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2540765,"","","","",NULL
1990,"SPBP4H10.16c","phosphatase activator (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541358,"","","","",NULL
1991,"pep7","prevacuole/endosomal FYVE tethering component Pep7 (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542423,"","","","vac1",NULL
1992,"SPBC3H7.03c","alpha-ketoglutarate dehydrogenase","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2540991,"","","","",NULL
1993,"ppr1","L-azetidine-2-carboxylic acid acetyltransferase","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541963,"","","","",NULL
1994,"sdh1","succinate dehydrogenase Sdh1 (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541690,"","","","",NULL
1995,"atg20","sorting nexin Atg20 (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2539317,"","","","",NULL
1996,"shd1","cytoskeletal protein binding protein Sla1 family, Shd1 (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542338,"","","","sla1",NULL
1997,"SPAC17H9.08","mitochondrial coenzyme A transporter (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542177,"","","","",NULL
1998,"SPAC3H1.08c","DUF1640 family protein","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2543375,"","","","",NULL
1999,"car2","ornithine transaminase Car2","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2540626,"","","","",NULL
2000,"SPAC323.03c","sequence orphan","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2543101,"","","","",NULL
2001,"moc3","transcription factor Moc3","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2543646,"","","","",NULL
2002,"reb1","RNA polymerase I transcription termination factor Reb1","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2539930,"","","","SPBC660.01c",NULL
2003,"SPBC16D10.08c","heat shock protein Hsp104 (predicted)","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2540026,"","","","",NULL
2004,"zrg17","cation diffusion family zinc membrane transporter Zrg17","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2540150,"","","","",NULL
2005,"sdh4","TIM22 inner membrane protein import complex anchor subunit Tim18","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541292,"","","","tim18",NULL
2006,"SPBP35G2.11c","transcription related zf-ZZ type zinc finger protein","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541353,"","","","",NULL
2007,"SPCC1235.11","hypothetical protein","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2539169,"","","","",NULL
2008,"tatn-1","Tyrosine AminoTraNsferase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,181574,".6549","","","",NULL
2009,"Col1a1","collagen, type I, alpha 1","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,12842,NULL,NULL,NULL,NULL,NULL
2010,"Pink1","PTEN-induced putative kinase 1","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,31607,NULL,NULL,NULL,NULL,NULL
2011,"mics-1","MItoChondrial Scaffolding protei","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179475,".4990","","","",NULL
2012,"atad-3","ATPase family AAA domain-containing protein 3","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,174590,".7679","","","",NULL
2013,"Coq2","Coenzyme Q biosynthesis protein 2","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,40988,NULL,NULL,NULL,NULL,NULL
2014,"RPT1","proteasome regulatory particle base subunit RPT1","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,853712,"","","","CIM5 YTA3",NULL
2015,"RPT2","proteasome regulatory particle base subunit RPT2","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,851557,"","","","YHS4 YTA5",NULL
2016,"RPT3","proteasome regulatory particle base subunit RPT3","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,852003,"","","","YNT1 YTA2",NULL
2017,"RPT5","proteasome regulatory particle base subunit RPT5","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854284,"","","","YTA1",NULL
2018,"RPT6","proteasome regulatory particle base subunit RPT6","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,852834,"","","","CIM3 CRL3 SCB68 SUG1",NULL
2019,"UBP6","Ubp6p","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,850562,"","","","",NULL
2020,"PRE9","proteasome core particle subunit alpha 3","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,853036,"","","","",NULL
2021,"UBR2","putative ubiquitin-protein ligase UBR2","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,850711,"","","","",NULL
2022,"MUB1","Mub1p","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,855126,"","","","",NULL
2023,"mek-2","Dual specificity mitogen-activated protein kinase kinase mek-2","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,171872,".19739","","","",NULL
2024,"lip-1","Lateral-signal-Induced Phosphatase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,191704,".20225","","","",NULL
2025,"Cbr-daf-2","C. briggsae CBR-DAF-2 protein","Caenorhabditis briggsae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,8582838,"","","","",NULL
2026,"mdt-15","Mediator of RNA polymerase II transcription subunit 15","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175817,".38778","","","",NULL
2027,"rps-16","40S ribosomal protein S16","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179998,"23499","","","",NULL
2028,"C34B2.6","Lon protease homolog, mitochondrial","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,172966,"5902","","","",NULL
2029,"his-37","Histone H4","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179341,"17998","","","",NULL
2030,"dlat-1","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179945,"17215","","","",NULL
2031,"F01G4.6","Phosphate carrier protein, mitochondrial","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,178020,"18209","","","",NULL
2032,"pyc-1","PYruvate Carboxylase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179616,"22714","","","",NULL
2033,"mdh-1","Malate DeHydrogenase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179041,"23462","","","",NULL
2034,"eef-1A.1","Elongation factor 1-alpha","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175975,"22703","","","",NULL
2035,"rps-0","40S ribosomal protein SA","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175628,"10142","","","",NULL
2036,"tbb-2","Tubulin beta-2 chain","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175519,"10737","","","",NULL
2037,"rla-0","60S acidic ribosomal protein P0","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,172943,"20069","","","",NULL
2038,"rpl-23","60S ribosomal protein L23","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175796,"8234","","","",NULL
2039,"rps-20","Ribosomal Protein, Small subunit","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,173309,"6570","","","",NULL
2040,"rpl-31","60S ribosomal protein L31","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,173235,"20519","","","",NULL
2041,"F09F7.4","hypothetical protein","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175766,"6091","","","",NULL
2042,"rpl-1","60S ribosomal protein L10a","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,171853,"18297","","","",NULL
2043,"gdh-1","Glutamate dehydrogenase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,178130,"17808","","","",NULL
2044,"cpn-3","CalPoNin","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,171986,"22459","","","",NULL
2045,"B0250.5","Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,180344,"9442","","","",NULL
2046,"rars-1","Probable arginine--tRNA ligase, cytoplasmic","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175659,"17117","","","",NULL
2047,"rpl-10","60S ribosomal protein L10","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,174311,"23306","","","",NULL
2048,"rpl-7","60S ribosomal protein L7","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,171602,"18647","","","",NULL
2049,"cct-1","T-complex protein 1 subunit alpha","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,174318,"17047","","","",NULL
2050,"rpl-17","60S ribosomal protein L17","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,171692,"9029","","","",NULL
2051,"acs-4","fatty Acid CoA Synthetase family","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,176005,"5646","","","",NULL
2052,"rpl-3","60S ribosomal protein L3","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175501,"17929","","","",NULL
2053,"rack-1","Guanine nucleotide-binding protein subunit beta-2-like 1","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177895,"4889","","","",NULL
2054,"cct-8","Chaperonin Containing TCP-1","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,176928,"11906","","","",NULL
2055,"rpl-7A","60S ribosomal protein L7a","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177203,"9272","","","",NULL
2056,"set-26","SET (trithorax/polycomb) domain containing","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,178463,"11947","","","",NULL
2057,"mes-2","Histone-lysine N-methyltransferase mes-2","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175096,"19654","","","",NULL
2058,"jmjd-2","Lysine-specific demethylase 4","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175080,"7096","","","",NULL
2059,"tcer-1","TransCription Elongation Regulator homolog","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,174150,"18223","","","",NULL
2060,"odr-2","hypothetical protein","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179098,"19398","","","",NULL
2061,"odr-7","Nuclear hormone receptor family member odr-7","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,181403,"19636","","","",NULL
2062,"raga-1","RAs-related GTP-binding protein A","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,174726,"23123","","","",NULL
2063,"ragc-1","RAs-related GTP binding protein C homolog","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,178084,"12126","","","",NULL
2064,"BUL2","ubiquitin-ubiquitin ligase BUL2","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854929,"","","","",NULL
2065,"pdp-1","Pyruvate Dehydrogenase Phosphatase homolog","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,172035,"7190","","","",NULL
2066,"eat-18","hypothetical protein","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,24105308,"17654","","","",NULL
2067,"elo-1","fatty acid ELOngation","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177787,"19507","","","",NULL
2068,"elo-2","fatty acid ELOngation","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,178532,"13148","","","",NULL
2069,"fat-4","Delta(5) fatty acid desaturase fat-4","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177819,"18374","","","",NULL
2070,"mub","mushroom-body expressed","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,40436,NULL,NULL,NULL,NULL,NULL
2071,"crol","crooked legs","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,34592,NULL,NULL,NULL,NULL,NULL
2072,"esg","escargot","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,34903,NULL,NULL,NULL,NULL,NULL
2073,"CDC26","anaphase promoting complex subunit CDC26","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,850597,"","","","HIT3 SCD26",NULL
2074,"APC9","anaphase promoting complex subunit 9","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,850792,"","","","",NULL
2075,"APC10","potential anaphase-promoting complex processivity factor Apc10","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,3640787,"","","","",NULL
