"id","gene_id","biblio_id","lifespan_effect","phenotype_description","longevity_influence","max_lifespan_change","max_lifespan_change_desc","avg_lifespan_change","avg_lifespan_change_desc","method","notes","hidden"
2127,540,68,"increase","Deletion of the RAS2 gene, which functions upstream of CYR1, doubles the mean life span by a mechanism that requires Msn2/4 and Sod2","anti",NULL,NULL,NULL,NULL,"Deletion ","Values taken from Arie's file",0
2128,606,456,"increase","Lack of Sir2 along with calorie restriction and/or mutations in the yeast AKT homolog, Sch9, or Ras pathways causes a dramatic chronological LS extension (6 fold).","anti",NULL,NULL,600,"Chronological lifespan is up to 6 fold higher.","Deletion","Values taken from Arie's file",0
2129,441,457,"increase","Overexpression of MPT5 extends replicative life span by about 20%","pro",NULL,NULL,20,"Replicative lifespan is 20% higher.","Overexpression","Values taken from Arie's file",0
2130,284,33,"increase","About 20% mean replicative lifespan increase","anti",NULL,NULL,20,"Replicative lifespan is 20% higher.","Deletion","Values taken from Arie's file",0
2131,421,33,"increase","Extension of replicative life span","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
2132,284,216,"increase","Deletion of fob1 causes extension in the short life span of the sir2 mutant extended by ~50%","anti",NULL,NULL,50,"Replicative lifespan is approximately 50% higher.","Deletion","Values taken from Arie's file",0
2133,455,170,"increase","Chronological lifespan extension","anti",NULL,NULL,NULL,NULL,"Deletion ","Values taken from Arie's file",0
2134,632,458,"increase","Replicative lifespan increase by 50%","anti",NULL,NULL,50,"Chronological lifespan is 50% higher.","Deletion","Values taken from Arie's file",0
2135,149,47,"increase","The CDC35-1 allele confers a 75% extension of replicative life span at 25 C","anti",NULL,NULL,75,"Replicative lifespan is 75% higher.","Mutation","Values taken from Arie's file",0
2136,619,459,"decrease","Reduced chronological lifespan","anti",NULL,NULL,NULL,NULL,"Overexpression","Values taken from Arie's file",0
2137,284,420,"increase","Replicative lifespan increased by 25% in the alpha strain and by 10% in a strain","anti",NULL,NULL,25,"Replicative lifespan is 10-25% higher.","Deletion","Values taken from Arie's file",0
2138,544,420,"increase","Replicative lifespan increased by 40% in the alpha and a strains ","anti",NULL,NULL,40,"Replicative lifespan is 40% higher.","Deletion ","Values taken from Arie's file",0
2139,554,420,"increase","Replicative lifespan increased by 50% in the alpha strain and 20% in a strain","anti",NULL,NULL,50,"Replicative lifespan is 20-50% higher.","Deletion ","Values taken from Arie's file",0
2140,563,420,"increase","Replicative lifespan increased by 15% in the alpha strain and 40% in a strain","anti",NULL,NULL,40,"Replicative lifespan is 15-40% higher.","Deletion ","Values taken from Arie's file",0
2141,679,420,"increase","Replicative lifespan increased by 30% in the alpha strain and 20% in a strain","anti",NULL,NULL,30,"Replicative lifespan is 20-30% higher.","Deletion","Values taken from Arie's file",0
2142,600,123,"decrease","A shortened life span ","pro",NULL,NULL,NULL,NULL,"Mutation","Values taken from Arie's file",0
2143,674,446,"decrease","Decreased replicative lifespan","pro",NULL,"",NULL,"","Deletion","Values taken from Arie's file",0
2144,504,454,"decrease","Replicative lifespan decreased by 20%","pro",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
2145,441,460,"decrease","Average chronological lifespan decreased by 50%. Rescued to the wt level by PKC1 overexpression","fitness",NULL,NULL,50,"Replicative lifespan is 50% lower.","Deletion","Values taken from Arie's file",0
2146,621,44,"decrease","40% decrease in replicative lifespan","fitness",NULL,NULL,40,"Replicative lifespan is 40% lower.","Deletion","Values taken from Arie's file",0
2147,623,44,"decrease","72% replicative lifespan decrease","fitness",NULL,NULL,72,"Replicative lifespan is 72% lower.","Deletion","Values taken from Arie's file",0
2148,590,62,"increase","More than 3 fold extension of chronological lifespan, by day 9 of medium depletion all the WT yeast were dead while 50% sch9 mutants survived","anti",NULL,NULL,300,"Chronological lifespan is more than 3 fold higher.","Mutation","Values taken from Arie's file",0
2149,855,273,"increase","RNA interference resulted in a 24% to 47% increase in median lifespan compared to controls.","anti",NULL,"",47,"Lifespan is 24-47% higher","RNA interference","",0
2150,856,276,"increase","Overexpression caused a 15% mean lifespan extension.","pro",NULL,"",15,"Average lifespan is 15% higher ","Overexpression","",0
2151,953,333,"increase","Let-23 mutants (gain-of-function) survive more robustly in middle adulthood (29% increase of median lifespan, 9% increase of maximum lifespan. ","pro",9,"Maximum lifespan is 9% higher.",29,"Median lifespan is 29% higher.","Mutation","Values taken from Arie's file",0
2152,854,128,"increase","Overexpression increases mean lifespan by more than 30% and increases the premortality phase.","pro",NULL,"",30,"Average lifespan is more than 30% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
2153,854,387,"decrease","Mean lifespan was reduced up to 21% upon doxycycline-regulated overexpression  of Hsp22, particularly at higher culture temperatures.","anti",NULL,"",21,"Average lifespan is up to 21% lower.","Overexpression","",0
2154,1737,461,"increase","Deletion of ribosomal S6 protein kinase 1 (S6K1) induced gene expression patterns similar to those seen in caloric restriction and  led to increased lifespan and resistance to age-related pathologies, such as bone, immune, motor dysfunction and loss of insulin sensitivity in female mice. No significant lifespan effect was observed in males.","anti",NULL,"",19,"Median female lifespan is 19% higher.","Deletion","",0
2155,1738,NULL,"increase","Both the median and maximum lifespan (defined as 80% mortality) were significantly increased in knockout males compared to WT littermates. Mutant mice maintained their lean phenotype into old age and showed modestly lower blood glucose. Male mutants were also resistant to age-induced fatty liver, had a decrease in tumor incidence, severity of renal lesions, and age-related cardiac pathology.
","anti",NULL,"",14,"Median male lifespan is 14% higher. ","Knockout","",0
2156,823,462,"increase","On a chow diet, despite equal food intake, Ala/Ala knock-in mice display beneficial changes in fat mass, circulating lipids, and insulin sensitivity, compared to their Pro/Pro littermates. Ala/Ala mice also gained less weight than Pro/Pro mice both in fat and lean body mass, and their lifespan is average 13% longer.",NULL,NULL,"",13,"Average lifespan is 13% higher.","Knockin","",0
2157,1739,463,"increase","Transient NDT80 expression extends the replicative life span of vegetatively growing aged cells.","pro",NULL,"",NULL,"","Transient expression","",0
2158,1699,NULL,"decrease","Yeast lacking Asf1 are short lived, having a median replicative life span of about 7 generations in comparison to the median life span of about 27 generations for wild-type yeast in multiple yeast backgrounds. Asf1 mutants also exhibit some phenotypes characteristic of aging.","fitness",NULL,"",74,"Replicative lifespan is about 74% lower. ","Deletion","",0
2159,1068,464,"increase","Inactivation of any component of the Hir complex extended the median replicative life span by 25%-35%.","anti",NULL,"",35,"Replicative lifespan is 25-35% higher. ","Deletion ","",0
2160,1069,464,"increase","Inactivation of any component of the Hir complex extended the median replicative life span by 25%-35%.","anti",NULL,"",35,"Replicative lifespan is 25-35% higher. ","Deletion","",0
2161,1070,464,"increase","Inactivation of any component of the Hir complex extended the median replicative life span by 25%-35%.","anti",NULL,"",35,"Replicative lifespan is 25-35% higher.","Deletion","",0
2162,172,465,"increase","Inhibition of DDL-1/2 increases longevity and thermotolerance in an hsf-1-dependent manner. RNAi extends lifespan by 12%-24%.","anti",NULL,"",24,"Lifespan is 12-24% higher. ","RNA interference","",0
2163,173,465,"increase","Inhibition of DDL-1/2 increases longevity and thermotolerance in an hsf-1-dependent manner. RNAi extends lifespan by 12%-24%.","anti",NULL,"",24,"Lifespan is 12-24% higher. ","RNA interference","",0
2164,892,466,"increase","Ash-2 deficiency in the parental generation extend the lifespan of descendants up until the
third generation.","anti",NULL,"",27,"Lifespan is 19-27% higher. ","Mutation","",0
2165,1000,466,"increase","Wdr-5 deficiency in the parental generation extend the lifespan of descendants up until the
third generation.","anti",NULL,"",20,"Lifespan is up to 20% higher. ","Mutation","",0
2166,977,466,"increase","Set-2 deficiency in the parental generation extend the lifespan of descendants up until the
third generation.","anti",NULL,"",30,"Lifespan is up to 30% higher. ","Mutation","",0
2167,1740,467,"increase","Tissue-specific overexpression of dPGC-1 in stem and progenitor cells within the digestive tract of female flies extends lifespan. Flies display a delay in the onset of aging-related changes in the intestine, leading to improved tissue homeostasis in old flies.","pro",37,"Maximum female lifespan is up to 37% higher. ",33,"Median female lifespan is up to 33% higher.","Overexpression in stem and progenitor cells","",0
2168,1741,468,"decrease","Animals in which the thermosensory AFD neurons had been laser ablated, as well as animals that carry ttx-1 mutations, live up to 25% shorter than normal at 25 degrees C, a warm temperature, but neither AFD ablation nor ttx-1 mutation do not influence life span at 15 or 20 degrees C.","pro",NULL,"",25,"Lifespan is up to 25% lower. ","Mutation","",0
2169,880,469,"increase","Null mutant flies show a diminished change in lifespan in response to dietary restriction, which can be rescued upon ubiquitously expression of wild-type Thor (d4E-BP). Overexpression of wild type 4E-BP caused no change in lifespan of males or females on rich food, while overexpression of a weak activated allele extended mean lifespan of females 14% (no significant extension in male flies). Induction of a strong allele extended male lifespan 11% and female lifespan 22% on rich food. Under dietary restriction, there was no additional lifespan extension. ","pro",NULL,"",22,"Lifespan is up to 22% higher. ","Overexpression","",0
2170,1742,471,"decrease","DAP2 deletion decreases mean and maximum replicative lifespan under ad libitum, and cancels the lifespan extending effect of moderate dietary restriction.","fitness",36,"Maximum lifespan is 36% lower.",19,"Average lifespan is 19% lower.","Deletion","From GenDR (Daniel's paper)",0
2171,1743,471,"increase","OPT2 deletion increases mean and maximum replicative lifespan under ad libitum. This is not further extended by dietary restriction.","anti",9,"Maximum lifespan is 9% higher.",23,"Average lifespan is 23% higher.","Deletion","From GenDR (Daniel's paper)",0
2172,1744,471,"increase","RCR2 deletion extends mean replicative lifespan under ad libitum. This is not further extended by dietary restriction.","anti",NULL,NULL,18,"Average lifespan is 18% higher.","Deletion","From GenDR (Daniel's paper)",0
2173,1745,471,"decrease","VPS20 deletion decreases mean and maximum replicative lifespan under ad libitum, and cancels the dietary restriction-induced replicative lifespan extension.","fitness",19,"Maximum lifespan is 19% lower.",16,"Average lifespan is 16% lower.","Deletion","From GenDR (Daniel's paper)",0
2174,1746,471,"decrease","GTR1 deletion decreases mean and maximum replicative lifespan under ad libitum, and cancels out the lifespan extending effect of DR","fitness",51,"Maximum lifespan is 51% lower.",36,"Average lifespan is 36% lower.","Deletion","From GenDR (Daniel's paper)",0
2175,1747,471,"increase","FRE6 deletion increases mean replicative lifespan. This is not further extended by dietary restriction.","anti",NULL,NULL,14,"Average lifespan is 14% higher.","Deletion","From GenDR (Daniel's paper)",0
2176,1748,471,"decrease","Deletion of YOL092W decreases mean and maximum replicative lifespan. Lifespan of YOL092Y deletion mutants can be extended by 0.5% glucose restriction.","fitness",21,"Maximum lifespan is 21% lower.",36,"Average lifespan is 36% lower.","Deletion","From GenDR (Daniel's paper)",0
2177,1749,NULL,"increase","RNAi of the utx-1 gene extended the mean life span of worms, dependent on DAF-16 activity and not additive in daf-2 mutants. The loss of utx-1 increased H3K27me3 on the Igf1r/daf-2 gene and decreased IIS activity, resulting into an epigenetic state closer to that of younger worms.","anti",NULL,NULL,30,"Average lifespan is aproximately 30% higher.","RNA interference",NULL,0
2178,1750,NULL,"increase","Reduction of mitoferrin through RNAi results in small body size, reduced fecundity, slow movement and increased sensitivity to paraquat, but also in an increased lifespan of 50% to 80% compared to the N2 wild type worms strain.","anti",77,"Maximum lifespan is up to 77% higher.",64,"Average lifespan is up to 64% higher.","RNA interference",NULL,0
2179,1751,NULL,"increase","TDP-1 loss of function mutants display reduced proteotoxicity in worm models and an extended lifespan, which is DAF-16 dependent but not HSF-1 dependent. The increase in lifespan is also accompanied by a reduction in fertility, slower growth and locomotor deficits.","anti",20,"Maximum lifespan is aproximately 20% higher.",20,"Average lifespan is aproximately 20% higher.","Loss of function mutation","Percentages are from the numbers in the paper (but extrapolated to both mean and max)",0
2180,1752,NULL,"increase","Vang-1 mutations as well as RNAi depletion result in an increased mean lifespan in a DAF-16 dependent manner. The longevity phenotype is accompanied by enhanced resistance to thermal- and oxidative stress and decreased lipofuscin accumulation. Mutants also have a smaller brood size, decreased ovulation rate and prolonged reproductive span.","anti",NULL,NULL,40,"Average lifespan is up to 40% higher.","RNA interference and/or mutations",NULL,0
2181,1753,NULL,"increase","hpl-2 worm mutants show an altered lipid metabolism and an increased lifespan which is dependent on both daf-2 and daf-16.","anti",NULL,NULL,17,"Average lifespan is 17% higher.","Mutation",NULL,0
2182,1754,NULL,"increase","Nuo-6 mutants show slow embryonic and postembryonic development, slow swimming, slow defecation, slow pumping, a mild increase in embryonic and larval lethality, and a substantial increase in lifespan. Similar results were also obtained using RNAi. While the nuo-6, isp-1 double mutants fail to further increase lifespan, the effect of genetic mutations in one of the two genes is additive to the longevity-increasing effect of RNAi in the other gene.","anti",80,"Maximum lifespan is up to 80% higher.",73,"Average lifespan is up to 73% higher.","RNA interference and/or mutations",NULL,0
2183,1755,NULL,"increase","RNAi of rheb-1 mimics longevity effects of caloric restriction, increasing lifespan under ad libitum by 19.1%.","anti",NULL,NULL,19.1,"Lifespan is 19.1% higher.","RNA interference",NULL,0
2184,1756,NULL,"increase","Conditional expression of dilp6 abdominal fat body extended lifespan in females maintained on a low-yeast diet but not on high-yeast diet. Conditional expression in head fat body modestly increased lifespan in females upon high-yeast diet but decreased it upon low-yeast diet. No detectable effect was seen for males on any diet. Conditional expression with ubiquitous drivers and ubiquitous RNAi resulted in shortened lifespan. Overexpression by a conditional pan-neuronal driver or fat body RNAi have no effect on lifespan.","pro",NULL,NULL,15.6,"Lifespan is up to 15.6% higher.","Overexpression",NULL,0
2185,1757,NULL,"increase","pme-1 mutant worms show a 29% mean lifespan extension, whereas RNAi of pme-1 extends lifespan by 20%. PARP inhibition by either AZD2281 or ABT-888 also extends worm lifespan by up to 23%, and does not further extend the lifespan of pme-1 mutants.","anti",NULL,NULL,29,"Lifespan is up to 29% higher.","RNA interference and/or mutations",NULL,0
2186,1758,NULL,"increase","In contrast to single deletions, worms deficient for both cdc-48.1 (p97) and atx-3 have an extended lifespan, modulated through the insulin/IGF-1 signalling pathway.","anti",NULL,NULL,50,"Lifespan is up to 50% higher.","Mutation",NULL,0
2187,1759,NULL,"increase","In contrast to single deletions, worms deficient for both cdc-48.1 (p97) and atx-3 have an extended lifespan, modulated through the insulin/IGF-1 signalling pathway.","anti",NULL,NULL,50,"Lifespan is up to 50% higher.","Mutation",NULL,0
2188,1760,NULL,"increase","Disruption of the php2 gene extends the chronological lifespan of the fission yeast. This effect is barely noticeable under calorie restricted conditions, suggesting that the deletion of php2 could trigger mechanisms similar with those caused by caloric restriction. ","anti",NULL,"",NULL,"Chronological lifespan  is higher.","Mutation","",0
2189,1761,NULL,"decrease","Loss of rpn-6.1 decreased lifespan wild-type animals. Additionally, loss of rpn-6.1 also decreases lifespan of glp-1 mutants, and sterile control animals.","pro",NULL,NULL,NULL,"Lifespan is lower.","Post-developmental RNA interference",NULL,0
2190,1762,NULL,"increase","Post-developmental RNAi of T23D8.3 extends lifespan of wild type worms.","anti",34.7,"Maximum lifespan is 34.7% higher.",25.7,"Average lifespan is 25.7% higher.","Post-developmental RNA interference",NULL,0
2191,1763,NULL,"increase","Post-developmental RNAi of rps-14 extends lifespan of wild type worms.","anti",21.7,"Maximum lifespan is 21.7% higher.",16.6,"Average lifespan is 16.6% higher.","Post-developmental RNA interference",NULL,0
2192,1764,NULL,"increase","Post-developmental RNAi of lin-5 extends lifespan of wild type worms.","anti",8.7,"Maximum lifespan is 8.7% higher.",16.4,"Average lifespan is 16.4% higher.","Post-developmental RNA interference",NULL,0
2193,1765,NULL,"increase","Post-developmental RNAi of rnr-2 extends lifespan of wild type worms.","anti",21.7,"Maximum lifespan is 21.7% higher.",14.2,"Average lifespan is 14.2% higher.","Post-developmental RNA interference",NULL,0
2194,1766,NULL,"increase","Post-developmental RNAi of R02D3.3 extends lifespan of wild type worms.","anti",21.7,"Maximum lifespan is 21.7% higher.",13,"Average lifespan is 13% higher.","Post-developmental RNA interference",NULL,0
2195,1767,NULL,"increase","Post-developmental RNAi of rps-12 extends lifespan of wild type worms.","anti",21.7,"Maximum lifespan is 21.7% higher.",11.6,"Average lifespan is 11.6% higher.","Post-developmental RNA interference",NULL,0
2196,1768,NULL,"increase","Post-developmental RNAi of emb-27 extends lifespan of wild type worms.","anti",8.7,"Maximum lifespan is 8.7% higher.",10.5,"Average lifespan is 10.5% higher.","Post-developmental RNA interference",NULL,0
2197,1769,NULL,"increase","Post-developmental RNAi of rpc-2 extends lifespan of wild type worms.","anti",21.7,"Maximum lifespan is 21.7% higher.",8.1,"Average lifespan is 8.1% higher.","Post-developmental RNA interference",NULL,0
2198,1770,NULL,"increase","Post-developmental RNAi of aps-1 extends lifespan of wild type worms.","anti",0,"Maximum lifespan is not significantly changed.",7.9,"Average lifespan is 7.9% higher.","Post-developmental RNA interference",NULL,0
2199,1771,NULL,"increase","Post-developmental RNAi of chn-1 extends lifespan of wild type worms.","anti",8.7,"Maximum lifespan is 8.7% higher.",7.1,"Average lifespan is 7.1% higher.","Post-developmental RNA interference",NULL,0
2200,1772,NULL,"increase","Post-developmental RNAi of mel-28 extends lifespan of wild type worms.","anti",8.7,"Maximum lifespan is 8.7% higher.",6.5,"Average lifespan is 6.5% higher.","Post-developmental RNA interference",NULL,0
2201,1773,NULL,"increase","Post-developmental RNAi of hmg-4 extends lifespan of wild type worms.","anti",0,"Maximum lifespan is not significantly changed.",6.5,"Average lifespan is 6.5% higher.","Post-developmental RNA interference",NULL,0
2202,1774,NULL,"increase","Post-developmental RNAi of asb-1 extends lifespan of wild type worms.","anti",0,"Maximum lifespan is not significantly changed.",6.4,"Average lifespan is 6.4% higher.","Post-developmental RNA interference",NULL,0
2203,1775,NULL,"increase","Post-developmental RNAi of rpb-8 extends lifespan of wild type worms.","anti",0,"Maximum lifespan is not significantly changed.",6.4,"Average lifespan is 6.4% higher.","Post-developmental RNA interference",NULL,0
2204,1776,NULL,"increase","Post-developmental RNAi of rsr-1 extends lifespan of wild type worms.","anti",0,"Maximum lifespan is not significantly changed.",6.1,"Average lifespan is 6.1% higher.","Post-developmental RNA interference",NULL,0
2205,1777,NULL,"increase","Post-developmental RNAi of C47D12.2 extends lifespan of wild type worms.","anti",8.7,"Maximum lifespan is 8.7% higher.",5.5,"Average lifespan is 5.5% higher.","Post-developmental RNA interference",NULL,0
2206,1778,NULL,"increase","Post-developmental RNAi of gpd-3 extends lifespan of wild type worms.","anti",0,"Maximum lifespan is not significantly changed.",5.3,"Average lifespan is 5.3% higher.","Post-developmental RNA interference",NULL,0
2207,1779,NULL,"increase","Post-developmental RNAi of rpa-1 extends lifespan of wild type worms.","anti",21.7,"Maximum lifespan is 21.7% higher.",5.1,"Average lifespan is 5.1% higher.","Post-developmental RNA interference",NULL,0
2208,1780,NULL,"increase","Post-developmental RNAi of nhr-23 extends lifespan of wild type worms.","anti",8.7,"Maximum lifespan is 8.7% higher.",4.9,"Average lifespan is 4.9% higher.","Post-developmental RNA interference",NULL,0
2209,1781,NULL,"decrease","Post-developmental RNAi of pcf-11 shortens lifespan of wild type worms.","pro",25,"Maximum lifespan is 25% lower.",18.9,"Average lifespan is 18.9% lower.","Post-developmental RNA interference",NULL,0
2210,1782,NULL,"decrease","Post-developmental RNAi of rpn-11 shortens lifespan of wild type worms.","pro",25,"Maximum lifespan is 25% lower.",19.3,"Average lifespan is 19.3% lower.","Post-developmental RNA interference",NULL,0
2211,1783,NULL,"decrease","Post-developmental RNAi of cdtl-7 shortens lifespan of wild type worms.","pro",25,"Maximum lifespan is 25% lower.",22.2,"Average lifespan is 22.2% lower.","Post-developmental RNA interference",NULL,0
2212,1784,NULL,"decrease","Post-developmental RNAi of dpy-27 shortens lifespan of wild type worms.","pro",25,"Maximum lifespan is 25% lower.",23.5,"Average lifespan is 23.5% lower.","Post-developmental RNA interference",NULL,0
2213,1785,NULL,"decrease","Post-developmental RNAi of gei-4 shortens lifespan of wild type worms.","pro",38,"Maximum lifespan is 38% lower.",27,"Average lifespan is 27% lower.","Post-developmental RNA interference",NULL,0
2214,1786,NULL,"decrease","Post-developmental RNAi of pat-3 shortens lifespan of wild type worms.","pro",50,"Maximum lifespan is 50% lower.",28.1,"Average lifespan is 28.1% lower.","Post-developmental RNA interference",NULL,0
2215,1787,NULL,"decrease","Post-developmental RNAi of rpt-1 shortens lifespan of wild type worms.","pro",50,"Maximum lifespan is 50% lower.",28.4,"Average lifespan is 28.4% lower.","Post-developmental RNA interference",NULL,0
2216,1788,NULL,"decrease","Post-developmental RNAi of snap-1 shortens lifespan of wild type worms.","pro",50,"Maximum lifespan is 50% lower.",39.9,"Average lifespan is 39.9% lower.","Post-developmental RNA interference",NULL,0
2217,1789,NULL,"decrease","Post-developmental RNAi of snap-29 shortens lifespan of wild type worms.","pro",72,"Maximum lifespan is 72% lower.",48.6,"Average lifespan is 48.6% lower.","Post-developmental RNA interference",NULL,0
2218,864,NULL,"increase","Disruption of dSH2B (lnk) decreases insulin-like signaling and somatic growth in flies, and dSH2B deficiency increased hemolymph carbohydrate levels, whole-body lipid levels, lifespan (in both males and females), and resistance to starvation and oxidative stress. Systemic overexpression of dSH2B results in the opposite phenotypes.","anti",15,"Maximum lifespan is 14% higher in males and 15% higher in females.",33,"Median lifespan is 14% higher in males and 33% higher in females.","Mutation","dSH2B = lnk",0
2219,987,NULL,"decrease","Post-developmental RNAi of sptf-3 shortens lifespan of wild type worms.","pro",37,"Maximum lifespan is 37% lower.",22.9,"Average lifespan is 22.9% lower.","Post-developmental RNA interference",NULL,0
2220,975,NULL,"decrease","Post-developmental RNAi of rab-5 shortens lifespan of wild type worms.","pro",50,"Maximum lifespan is 50% lower.",38,"Average lifespan is 38% lower.","Post-developmental RNA interference",NULL,0
2221,1790,NULL,"increase","Overexpression of egl-27 extends the lifespan of wild-type animals. egl-27 is also required for longevity extension effects of impaired insulin/IGF-1 like signaling, as reduced egl-27 activity fully suppresses the longevity of daf-2 worms.","pro",10,"Maximum lifespan is up to 10% higher.",17.9,"Average lifespan is up to 17.9% higher.","Overexpression",NULL,0
2222,1791,NULL,"increase","Adult-specific ubiquitous overexpression of dCBS increases female mean and maximum lifespan by 12 - 43% and 10%, respectively. Males exhibit a smaller, but still significant increase in lifespan by 7% upon dCBS overexpression. Neuronal overexpression also increases lifespan, albeit modestly (approximately 12% mean and 15% maximum lifespan extension), whereas overexpression in the fat body and in the gut has no effect.","pro",NULL,"",43,"Average lifespan is up to 43% higher.","Overexpression","",0
2223,1792,NULL,"decrease","First generation tert mutants, resulting from a heterozygous incross, are born healthy and develop past sexual maturity without any obvious defects. The tert mutation results in shorter telomeres and mutants die significantly earlier than their wild type siblings (average lifespan of 9 versus >22 months, p<0.005). The increase in mortality is accompanied by a consistent gradual decrease in body mass (cachexiaa), a common phenotypic alteration in aged organisms.","pro",NULL,NULL,60,"Average lifespan is more than 60% lower.","Mutation",NULL,0
2224,1793,NULL,"increase","Overexpression of wild-type trpa-1 extends lifespan at 20C and 15C (but not at 25C). Additionally, trpa-1 null mutant worms are short lived at 20C and 15C (but not at 25C).","pro",NULL,NULL,33.5,"Average lifespan is up to 33.5% higher.","Overexpression",NULL,0
2225,1794,NULL,"decrease","Overexpression of Eif5a2 in mice results in accumulation of chromosomal instability and features resembling accelerated ageing, including a short lifespan (average lifespan of about 8 months), kyphosis, osteoporosis, delay of wound healing and ossification.","anti",NULL,NULL,NULL,NULL,"Overexpression","for human dataset",0
2226,1795,NULL,NULL,"Mutant mice developed signs of ageing, including kyphosis and cataracts, at younger ages than the wild-type mice. It is unknown, however, whether these animals have a shorter lifespan.","pro",NULL,NULL,NULL,NULL,"Mutation",NULL,0
2227,1796,NULL,"increase","Knockout mice live 16% longer than controls.","anti",NULL,NULL,16,"Average lifespan is 16% higher.","Knockout","for human dataset",0
2228,1797,NULL,"increase","Female knockout mice have an extended lifespan of about 23%.","anti",8,"Maximum lifespan is 8% higher.",23,"Average lifespan is 23% higher.","Knockout","for human dataset",0
2229,1798,NULL,"increase","Disruption of Gsta4 in mice extends average (by 13%), but not maximum, lifespan.","anti",NULL,NULL,13,"Average lifespan is 13% higher.","Knockout",NULL,0
2230,1799,NULL,"increase","Cardiac-specific overexpression of metallothionein increased lifespan by 14%.","pro",NULL,NULL,14,"Average lifespan is 14% higher.","Overexpression","for MRDT? For human dataset",0
2231,1800,NULL,"increase","Transgenic overexpression of Fgf21 in hepatocytes increases average (by 36%) and maximum (by at least 16%) lifespan.","pro",16,"Maximum lifespan is 16% higher.",36,"Average lifespan is 14% higher.","Overexpression","for human dataset",0
2232,1801,NULL,"decrease","Knockout mice exhibit features resembling accelerated ageing, including reduced survival, kyphosis and increased levels of oxidized proteins.","pro",NULL,NULL,31,"Average lifespan is 31% lower.","Knockout","for human dataset",0
2233,1802,NULL,"decrease","Mice with both a mutation in Htra2 (which normally causes neurodegeneration 30-40 days after birth) and expressing human HTRA2 in the central nervous system (which rescues mice from neurodegeneration and prevents premature death) develop signs of premature ageing. These include premature weight loss, hair loss, reduced fertility and kyphosis.","pro",NULL,NULL,NULL,NULL,"Mutation","for human dataset",0
2234,1803,NULL,"increase","Knockdown of mrps-5 increased lifespan by 60%.","anti",NULL,NULL,60,"Average lifespan is 60% higher.","RNA interference",NULL,0
2235,1804,NULL,"increase","Knockdown of nkcc-1 increased lifespan by 23%.","anti",NULL,NULL,23,"Average lifespan is 23% higher.","RNA interference",NULL,0
2236,1805,NULL,"increase","Knockdown of mrpl-2 increased lifespan by 54%.","anti",NULL,NULL,54,"Average lifespan is 54% higher.","RNA interference",NULL,0
2237,1806,NULL,"increase","Knockdown of mrpl-37 increased lifespan by 41%.","anti",NULL,NULL,41,"Average lifespan is 41% higher.","RNA interference",NULL,0
2238,1807,NULL,"decrease","Knockout mice exhibit features resembling accelerated ageing, including premature death, cardiac abnormalities and sarcopenia.","pro",NULL,NULL,NULL,NULL,"Knockout","maybe for human dataset",0
2239,1808,NULL,"increase","Mice overexpressing human MTH1 have lower levels of DNA damage and live 16% longer.","pro",22,"Maximum lifespan is 22% higher.",16,"Average lifespan is 16% higher.","Overexpression","HUMAN GENE! Also, for human dataset",0
2240,1809,NULL,"increase","Mice hypomorphic for mTor have reduced mTor expression, are smaller and live about 20% longer.","anti",NULL,NULL,20,"Average lifespan is 20% higher.","Genetic reduction","for MRDT? For human dataset",0
2241,1810,NULL,"increase","Haploinsufficient mice had a lower body weight and a longer lifespan. Mean lifespan was 8% longer in males and 15% longer in females when compared to wild-type.","anti",NULL,NULL,11.5,"Average lifespan is 11.5% higher.","Genetic reduction","for MRDT? For human dataset",0
2242,1811,NULL,"increase","Brain-specific knockout mice live 23% longer. Moreover, viral activation in the hypothalamus activated NFkB and reduced lifespan.","anti",NULL,NULL,23,"Average lifespan is 23% higher.","Knockout","for human dataset",0
2243,1812,NULL,"decrease","Knockout mice are short-lived. Males lived 34% less but females were only slightly shorter-lived. Males also exhibit signs of accelerated ageing.","pro",NULL,NULL,34,"Average lifespan is 34% lower.","Knockout","for human dataset",0
2244,1813,NULL,"decrease","Cdk7 deficiency causes early embryonic lethality. However, ablation of Cdk7 in adult animals resulted in age-related phenotypes, including weight loss, pervasive hair-greying, kyphosis and premature death with <20% of animals living more than one year.","pro",NULL,NULL,NULL,NULL,"Knockout","for human dataset",0
2245,1814,NULL,"decrease","Knockout mice exhibited decreased survival, with less than 50% of animals living more than 2 years, and signs of cellular ageing, though not necessarily progeroid features.","pro",NULL,NULL,NULL,NULL,"Knockout","maybe for human dataset",0
